index,matched_stances
58,['Does not express any politically relevant opinion']
59,['Criticism of Local Government or Mayor']
60,['Criticism of Local Government or Mayor']
61,[]
62,['Does not express any politically relevant opinion']
63,['Does not express any politically relevant opinion']
64,['Does not express any politically relevant opinion']
65,['Does not express any politically relevant opinion']
66,['Does not express any politically relevant opinion']
67,['Does not express any politically relevant opinion']
68,['Does not express any politically relevant opinion']
69,['Does not express any politically relevant opinion']
70,['Does not express any politically relevant opinion']
71,['Criticism of Local Government or Mayor']
72,['Does not express any politically relevant opinion']
73,['Does not express any politically relevant opinion']
74,[]
75,['Does not express any politically relevant opinion']
76,['Does not express any politically relevant opinion']
77,['Does not express any politically relevant opinion']
78,"['Support for police and federal detainment practices as necessary for law and order', 'Criticism of Democrats or Liberals']"
79,['Does not express any politically relevant opinion']
80,['Does not express any politically relevant opinion']
81,['Does not express any politically relevant opinion']
82,[]
83,['Does not express any politically relevant opinion']
84,['Does not express any politically relevant opinion']
85,"['Support for abortion rights', 'Criticism of Republicans or Conservatives', 'Criticism of Donald Trump or Republican Party Leadership', 'Support for Joe Biden, Kamala Harris or Democratic Party Leadership']"
86,['Does not express any politically relevant opinion']
87,"['Criticism of Democrats or Liberals', 'Criticism of Local Government or Mayor']"
88,['Does not express any politically relevant opinion']
89,[]
90,['Does not express any politically relevant opinion']
91,['Does not express any politically relevant opinion']
92,['Does not express any politically relevant opinion']
93,['Does not express any politically relevant opinion']
94,['Does not express any politically relevant opinion']
95,[]
96,['Does not express any politically relevant opinion']
97,['Does not express any politically relevant opinion']
98,[]
99,['Does not express any politically relevant opinion']
100,[]
101,"['Support for legalization of marijuana', 'Criticism of Republicans or Conservatives']"
102,['Criticism of Local Government or Mayor']
103,['Does not express any politically relevant opinion']
104,['Does not express any politically relevant opinion']
105,['Does not express any politically relevant opinion']
106,['Does not express any politically relevant opinion']
107,['Does not express any politically relevant opinion']
108,['Does not express any politically relevant opinion']
109,['Does not express any politically relevant opinion']
110,"['Criticism of Democrats or Liberals', 'Criticism of Republicans or Conservatives']"
111,['Does not express any politically relevant opinion']
112,['Criticism of Local Government or Mayor']
113,['Does not express any politically relevant opinion']
114,['Does not express any politically relevant opinion']
115,['Does not express any politically relevant opinion']
116,['Criticism of Democrats or Liberals']
117,['Does not express any politically relevant opinion']
118,['Does not express any politically relevant opinion']
119,"['Criticism of Republicans or Conservatives', 'Criticism of Donald Trump or Republican Party Leadership']"
120,['Does not express any politically relevant opinion']
121,['Does not express any politically relevant opinion']
122,['Criticism of Local Government or Mayor']
123,['Does not express any politically relevant opinion']
124,['Does not express any politically relevant opinion']
125,['Criticism of Republicans or Conservatives']
126,['Criticism of Democrats or Liberals']
127,['Criticism of Local Government or Mayor']
128,['Does not express any politically relevant opinion']
129,['Does not express any politically relevant opinion']
130,['Criticism of Democrats or Liberals']
131,"['Criticism of police and federal detainment practices as abuse of power', 'Support for higher taxes for government involvement', 'Support for universal healthcare']"
132,[]
133,[]
134,['Does not express any politically relevant opinion']
135,['Does not express any politically relevant opinion']
136,['Does not express any politically relevant opinion']
137,"['Opposition to legalization of marijuana', 'Criticism of Local Government or Mayor']"
138,['Does not express any politically relevant opinion']
139,['Does not express any politically relevant opinion']
140,['Criticism of illegal immigration']
141,['Does not express any politically relevant opinion']
142,['Criticism of police and federal detainment practices as abuse of power']
143,['Does not express any politically relevant opinion']
144,['Does not express any politically relevant opinion']
145,['Does not express any politically relevant opinion']
146,['Does not express any politically relevant opinion']
147,['Support for police and federal detainment practices as necessary for law and order']
148,[]
149,['Criticism of Republicans or Conservatives']
150,[]
151,['Does not express any politically relevant opinion']
152,['Criticism of Democrats or Liberals']
153,['Does not express any politically relevant opinion']
154,['Criticism of Local Government or Mayor']
155,"['Criticism of high taxes for government involvement', 'Criticism of Local Government or Mayor']"
156,['Criticism of Local Government or Mayor']
157,['Does not express any politically relevant opinion']
158,['Does not express any politically relevant opinion']
159,"['Criticism of Democrats or Liberals', 'Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership']"
160,['Does not express any politically relevant opinion']
161,"['Criticism of police and federal detainment practices as abuse of power', 'Criticism of Donald Trump or Republican Party Leadership']"
162,['Does not express any politically relevant opinion']
163,['Does not express any politically relevant opinion']
164,['Does not express any politically relevant opinion']
165,['Does not express any politically relevant opinion']
166,['Does not express any politically relevant opinion']
167,['Does not express any politically relevant opinion']
168,[]
169,[]
170,"['Criticism of Democrats or Liberals', 'Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership']"
171,['Does not express any politically relevant opinion']
172,['Criticism of Democrats or Liberals']
173,['Does not express any politically relevant opinion']
174,[]
175,['Does not express any politically relevant opinion']
176,['Criticism of Local Government or Mayor']
177,['Does not express any politically relevant opinion']
178,['Does not express any politically relevant opinion']
179,"['Criticism of Democrats or Liberals', 'Criticism of Local Government or Mayor']"
180,['Does not express any politically relevant opinion']
181,['Does not express any politically relevant opinion']
182,['Does not express any politically relevant opinion']
183,['Does not express any politically relevant opinion']
184,['Does not express any politically relevant opinion']
185,['Does not express any politically relevant opinion']
186,[]
187,['Does not express any politically relevant opinion']
188,['Does not express any politically relevant opinion']
189,['Does not express any politically relevant opinion']
190,['Does not express any politically relevant opinion']
191,['Criticism of Local Government or Mayor']
192,['Does not express any politically relevant opinion']
193,['Does not express any politically relevant opinion']
194,['Does not express any politically relevant opinion']
195,['Does not express any politically relevant opinion']
196,['Does not express any politically relevant opinion']
197,['Criticism of Local Government or Mayor']
198,['Does not express any politically relevant opinion']
199,['Does not express any politically relevant opinion']
200,['Criticism of Local Government or Mayor']
201,"['Criticism of police and federal detainment practices as abuse of power', 'Criticism of Local Government or Mayor']"
202,['Support for strong national defense spending']
203,['Does not express any politically relevant opinion']
204,"['Support for police and federal detainment practices as necessary for law and order', 'Criticism of Local Government or Mayor']"
205,['Does not express any politically relevant opinion']
206,['Does not express any politically relevant opinion']
207,['Does not express any politically relevant opinion']
208,['Support for pathway to citizenship for undocumented immigrants']
209,['Does not express any politically relevant opinion']
210,['Does not express any politically relevant opinion']
211,['Does not express any politically relevant opinion']
212,['Criticism of high taxes for government involvement']
213,['Criticism of Republicans or Conservatives']
214,['Does not express any politically relevant opinion']
215,['Criticism of high taxes for government involvement']
216,['Criticism of Local Government or Mayor']
217,['Criticism of police and federal detainment practices as abuse of power']
218,['Criticism of Donald Trump or Republican Party Leadership']
219,['Does not express any politically relevant opinion']
220,['Does not express any politically relevant opinion']
221,['Does not express any politically relevant opinion']
222,['Does not express any politically relevant opinion']
223,['Does not express any politically relevant opinion']
224,"['Criticism of illegal immigration', 'Criticism of Local Government or Mayor']"
225,['Criticism of police and federal detainment practices as abuse of power']
226,['Does not express any politically relevant opinion']
227,['Does not express any politically relevant opinion']
228,['Criticism of Local Government or Mayor']
229,['Criticism of high taxes for government involvement']
230,"['Support for police and federal detainment practices as necessary for law and order', 'Criticism of Local Government or Mayor']"
231,['Does not express any politically relevant opinion']
232,['Does not express any politically relevant opinion']
233,['Does not express any politically relevant opinion']
234,"['Criticism of Democrats or Liberals', 'Criticism of Local Government or Mayor']"
235,['Does not express any politically relevant opinion']
236,['Criticism of Democrats or Liberals']
237,"['Criticism of high taxes for government involvement', 'Criticism of Democrats or Liberals']"
238,"['Criticism of Republicans or Conservatives', 'Criticism of Donald Trump or Republican Party Leadership', 'Support for Joe Biden, Kamala Harris or Democratic Party Leadership', 'Praise for Local Government or Mayor']"
239,"['Support for police and federal detainment practices as necessary for law and order', 'Criticism of Local Government or Mayor']"
240,['Does not express any politically relevant opinion']
241,['Does not express any politically relevant opinion']
242,['Does not express any politically relevant opinion']
243,['Does not express any politically relevant opinion']
244,['Does not express any politically relevant opinion']
245,['Does not express any politically relevant opinion']
246,['Does not express any politically relevant opinion']
247,['Does not express any politically relevant opinion']
248,['Does not express any politically relevant opinion']
249,['Does not express any politically relevant opinion']
250,['Criticism of Local Government or Mayor']
251,['Does not express any politically relevant opinion']
252,['Criticism of Local Government or Mayor']
253,['Support for police and federal detainment practices as necessary for law and order']
254,[]
255,['Does not express any politically relevant opinion']
256,['Does not express any politically relevant opinion']
257,['Does not express any politically relevant opinion']
258,['Does not express any politically relevant opinion']
259,['Does not express any politically relevant opinion']
260,['Does not express any politically relevant opinion']
261,['Does not express any politically relevant opinion']
262,['Does not express any politically relevant opinion']
263,['Criticism of Local Government or Mayor']
264,['Does not express any politically relevant opinion']
265,['Does not express any politically relevant opinion']
266,['Praise for Local Government or Mayor']
267,['Does not express any politically relevant opinion']
268,['Criticism of Local Government or Mayor']
269,['Does not express any politically relevant opinion']
270,"['Support for renewable energy and climate action', 'Criticism of Democrats or Liberals', 'Criticism of Local Government or Mayor']"
271,['Does not express any politically relevant opinion']
272,['Does not express any politically relevant opinion']
273,"['Criticism of climate change policies as economically harmful', 'Criticism of Democrats or Liberals']"
274,"['Opposition to legalization of marijuana', 'Criticism of Local Government or Mayor']"
275,[]
276,"['Criticism of Democrats or Liberals', 'Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership']"
277,['Praise for Local Government or Mayor']
278,['Does not express any politically relevant opinion']
279,['Does not express any politically relevant opinion']
280,['Does not express any politically relevant opinion']
281,['Does not express any politically relevant opinion']
282,['Does not express any politically relevant opinion']
283,['Does not express any politically relevant opinion']
284,['Does not express any politically relevant opinion']
285,"['Support for police and federal detainment practices as necessary for law and order', 'Criticism of illegal immigration']"
286,['Criticism of Local Government or Mayor']
287,"['Support for police and federal detainment practices as necessary for law and order', 'Criticism of illegal immigration']"
288,['Does not express any politically relevant opinion']
289,['Does not express any politically relevant opinion']
290,['Does not express any politically relevant opinion']
291,['Does not express any politically relevant opinion']
292,['Does not express any politically relevant opinion']
293,['Support for police and federal detainment practices as necessary for law and order']
294,['Does not express any politically relevant opinion']
295,['Does not express any politically relevant opinion']
296,['Does not express any politically relevant opinion']
297,['Does not express any politically relevant opinion']
298,['Does not express any politically relevant opinion']
299,['Does not express any politically relevant opinion']
300,['Does not express any politically relevant opinion']
301,['Criticism of Republicans or Conservatives']
302,['Does not express any politically relevant opinion']
303,['Does not express any politically relevant opinion']
304,['Does not express any politically relevant opinion']
305,['Does not express any politically relevant opinion']
306,['Does not express any politically relevant opinion']
307,['Does not express any politically relevant opinion']
308,['Does not express any politically relevant opinion']
309,['Criticism of Local Government or Mayor']
310,['Does not express any politically relevant opinion']
311,['Does not express any politically relevant opinion']
312,[]
313,['Criticism of illegal immigration']
314,['Does not express any politically relevant opinion']
315,"['Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership']"
316,['Does not express any politically relevant opinion']
317,['Does not express any politically relevant opinion']
318,['Does not express any politically relevant opinion']
319,['Criticism of Local Government or Mayor']
320,['Does not express any politically relevant opinion']
321,['Does not express any politically relevant opinion']
322,['Does not express any politically relevant opinion']
323,['Does not express any politically relevant opinion']
324,[]
325,['Does not express any politically relevant opinion']
326,['Does not express any politically relevant opinion']
327,['Does not express any politically relevant opinion']
328,['Does not express any politically relevant opinion']
329,['Does not express any politically relevant opinion']
330,['Does not express any politically relevant opinion']
331,['Does not express any politically relevant opinion']
332,['Criticism of Local Government or Mayor']
333,['Does not express any politically relevant opinion']
334,['Support for LGBTQ+ rights and same-sex marriage']
335,[]
336,['Praise for Local Government or Mayor']
337,['Does not express any politically relevant opinion']
338,['Does not express any politically relevant opinion']
339,['Does not express any politically relevant opinion']
340,['Support for legalization of marijuana']
341,"['Criticism of police and federal detainment practices as abuse of power', 'Support for pathway to citizenship for undocumented immigrants', 'Criticism of Donald Trump or Republican Party Leadership']"
342,['Does not express any politically relevant opinion']
343,"['Criticism of Democrats or Liberals', 'Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership']"
344,['Support for Donald Trump or Republican Party Leadership']
345,['Support for police and federal detainment practices as necessary for law and order']
346,['Does not express any politically relevant opinion']
347,['Does not express any politically relevant opinion']
348,['Does not express any politically relevant opinion']
349,['Support for Donald Trump or Republican Party Leadership']
350,['Does not express any politically relevant opinion']
351,['Does not express any politically relevant opinion']
352,['Does not express any politically relevant opinion']
353,"['Support for abortion ban', 'Criticism of Democrats or Liberals', 'Support for Donald Trump or Republican Party Leadership']"
354,['Does not express any politically relevant opinion']
355,['Support for police and federal detainment practices as necessary for law and order']
356,['Does not express any politically relevant opinion']
357,['Does not express any politically relevant opinion']
358,['Criticism of Local Government or Mayor']
359,['Does not express any politically relevant opinion']
360,['Criticism of illegal immigration']
361,['Does not express any politically relevant opinion']
362,['Does not express any politically relevant opinion']
363,['Does not express any politically relevant opinion']
364,['Does not express any politically relevant opinion']
365,['Does not express any politically relevant opinion']
366,['Does not express any politically relevant opinion']
367,['Criticism of Local Government or Mayor']
368,['Does not express any politically relevant opinion']
369,['Does not express any politically relevant opinion']
370,['Does not express any politically relevant opinion']
371,['Does not express any politically relevant opinion']
372,['Does not express any politically relevant opinion']
373,['Does not express any politically relevant opinion']
374,['Does not express any politically relevant opinion']
375,['Does not express any politically relevant opinion']
376,['Does not express any politically relevant opinion']
377,['Does not express any politically relevant opinion']
378,['Does not express any politically relevant opinion']
379,['Does not express any politically relevant opinion']
380,['Does not express any politically relevant opinion']
381,['Does not express any politically relevant opinion']
382,['Support for police and federal detainment practices as necessary for law and order']
383,['Does not express any politically relevant opinion']
384,['Does not express any politically relevant opinion']
385,['Does not express any politically relevant opinion']
386,['Criticism of Local Government or Mayor']
387,['Criticism of Local Government or Mayor']
388,['Criticism of Democrats or Liberals']
389,['Does not express any politically relevant opinion']
390,['Does not express any politically relevant opinion']
391,['Does not express any politically relevant opinion']
392,[]
393,['Does not express any politically relevant opinion']
394,['Does not express any politically relevant opinion']
395,['Does not express any politically relevant opinion']
396,['Criticism of Local Government or Mayor']
397,['Does not express any politically relevant opinion']
398,['Does not express any politically relevant opinion']
399,['Does not express any politically relevant opinion']
400,['Criticism of police and federal detainment practices as abuse of power']
401,['Does not express any politically relevant opinion']
402,['Criticism of climate change policies as economically harmful']
403,['Opposition to LGBTQ+ rights and same-sex marriage']
404,['Does not express any politically relevant opinion']
405,['Does not express any politically relevant opinion']
406,['Does not express any politically relevant opinion']
407,['Does not express any politically relevant opinion']
408,['Does not express any politically relevant opinion']
409,['Criticism of Local Government or Mayor']
410,['Does not express any politically relevant opinion']
411,['Criticism of Local Government or Mayor']
412,[]
413,['Does not express any politically relevant opinion']
414,[]
415,['Does not express any politically relevant opinion']
416,['Criticism of Local Government or Mayor']
417,['Does not express any politically relevant opinion']
418,['Criticism of Local Government or Mayor']
419,['Does not express any politically relevant opinion']
420,"['Support for police and federal detainment practices as necessary for law and order', 'Criticism of military intervention and spending', 'Criticism of Republicans or Conservatives']"
421,['Criticism of Republicans or Conservatives']
422,['Does not express any politically relevant opinion']
423,['Criticism of illegal immigration']
424,['Does not express any politically relevant opinion']
425,['Does not express any politically relevant opinion']
426,['Does not express any politically relevant opinion']
427,['Does not express any politically relevant opinion']
428,"['Criticism of Democrats or Liberals', 'Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership', 'Support for Donald Trump or Republican Party Leadership']"
429,['Does not express any politically relevant opinion']
430,[]
431,['Does not express any politically relevant opinion']
432,['Does not express any politically relevant opinion']
433,"['Criticism of police and federal detainment practices as abuse of power', 'Criticism of Democrats or Liberals', 'Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership', 'Criticism of Local Government or Mayor']"
434,['Does not express any politically relevant opinion']
435,['Does not express any politically relevant opinion']
436,['Does not express any politically relevant opinion']
437,['Support for police and federal detainment practices as necessary for law and order']
438,['Does not express any politically relevant opinion']
439,['Does not express any politically relevant opinion']
440,['Does not express any politically relevant opinion']
441,[]
442,['Does not express any politically relevant opinion']
443,['Does not express any politically relevant opinion']
444,['Does not express any politically relevant opinion']
445,['Criticism of Local Government or Mayor']
446,[]
447,['Praise for Local Government or Mayor']
448,['Does not express any politically relevant opinion']
449,['Does not express any politically relevant opinion']
450,['Does not express any politically relevant opinion']
451,['Does not express any politically relevant opinion']
452,['Does not express any politically relevant opinion']
453,['Does not express any politically relevant opinion']
454,"['Criticism of Democrats or Liberals', 'Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership']"
455,['Does not express any politically relevant opinion']
456,['Does not express any politically relevant opinion']
457,"['Support for police and federal detainment practices as necessary for law and order', 'Criticism of illegal immigration']"
458,[]
459,['Does not express any politically relevant opinion']
460,['Does not express any politically relevant opinion']
461,['Does not express any politically relevant opinion']
462,['Does not express any politically relevant opinion']
463,['Does not express any politically relevant opinion']
464,['Support for police and federal detainment practices as necessary for law and order']
465,"['Criticism of Republicans or Conservatives', 'Criticism of Donald Trump or Republican Party Leadership']"
466,['Does not express any politically relevant opinion']
467,['Criticism of Local Government or Mayor']
468,['Does not express any politically relevant opinion']
469,[]
470,['Does not express any politically relevant opinion']
471,['Does not express any politically relevant opinion']
472,"['Criticism of illegal immigration', 'Criticism of Democrats or Liberals']"
473,['Does not express any politically relevant opinion']
474,['Criticism of Local Government or Mayor']
475,['Does not express any politically relevant opinion']
476,"['Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership']"
477,['Does not express any politically relevant opinion']
478,['Criticism of police and federal detainment practices as abuse of power']
479,['Does not express any politically relevant opinion']
480,['Does not express any politically relevant opinion']
481,['Criticism of Local Government or Mayor']
482,['Support for police and federal detainment practices as necessary for law and order']
483,['Does not express any politically relevant opinion']
484,['Does not express any politically relevant opinion']
485,['Does not express any politically relevant opinion']
486,['Does not express any politically relevant opinion']
487,['Does not express any politically relevant opinion']
488,['Does not express any politically relevant opinion']
489,['Criticism of climate change policies as economically harmful']
490,['Does not express any politically relevant opinion']
491,['Does not express any politically relevant opinion']
492,['Criticism of Local Government or Mayor']
493,[]
494,['Does not express any politically relevant opinion']
495,['Does not express any politically relevant opinion']
496,['Criticism of high taxes for government involvement']
497,['Does not express any politically relevant opinion']
498,['Criticism of Local Government or Mayor']
499,['Does not express any politically relevant opinion']
500,['Does not express any politically relevant opinion']
501,['Does not express any politically relevant opinion']
502,['Does not express any politically relevant opinion']
503,['Does not express any politically relevant opinion']
504,['Does not express any politically relevant opinion']
505,['Does not express any politically relevant opinion']
506,['Does not express any politically relevant opinion']
507,['Criticism of Local Government or Mayor']
508,['Does not express any politically relevant opinion']
509,['Does not express any politically relevant opinion']
510,['Does not express any politically relevant opinion']
511,['Does not express any politically relevant opinion']
512,['Criticism of Local Government or Mayor']
513,['Does not express any politically relevant opinion']
514,[]
515,['Does not express any politically relevant opinion']
516,['Does not express any politically relevant opinion']
517,['Does not express any politically relevant opinion']
518,"['Criticism of high taxes for government involvement', 'Criticism of Local Government or Mayor']"
519,['Criticism of police and federal detainment practices as abuse of power']
520,['Does not express any politically relevant opinion']
521,['Does not express any politically relevant opinion']
522,['Criticism of Donald Trump or Republican Party Leadership']
523,"['Criticism of police and federal detainment practices as abuse of power', 'Criticism of Local Government or Mayor']"
524,"['Criticism of Democrats or Liberals', 'Criticism of Local Government or Mayor']"
525,['Does not express any politically relevant opinion']
526,[]
527,['Does not express any politically relevant opinion']
528,['Does not express any politically relevant opinion']
529,['Does not express any politically relevant opinion']
530,['Does not express any politically relevant opinion']
531,['Criticism of Local Government or Mayor']
532,['Does not express any politically relevant opinion']
533,['Does not express any politically relevant opinion']
534,[]
535,['Does not express any politically relevant opinion']
536,['Criticism of Local Government or Mayor']
537,"['Criticism of high taxes for government involvement', 'Criticism of Democrats or Liberals', 'Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership']"
538,['Does not express any politically relevant opinion']
539,"['Support for police and federal detainment practices as necessary for law and order', 'Praise for Local Government or Mayor']"
540,['Criticism of Democrats or Liberals']
541,['Does not express any politically relevant opinion']
542,['Does not express any politically relevant opinion']
543,['Does not express any politically relevant opinion']
544,[]
545,['Does not express any politically relevant opinion']
546,['Does not express any politically relevant opinion']
547,['Criticism of Republicans or Conservatives']
548,"['Support for Joe Biden, Kamala Harris or Democratic Party Leadership']"
549,['Does not express any politically relevant opinion']
550,['Criticism of police and federal detainment practices as abuse of power']
551,['Does not express any politically relevant opinion']
552,['Does not express any politically relevant opinion']
553,['Does not express any politically relevant opinion']
554,['Does not express any politically relevant opinion']
555,['Does not express any politically relevant opinion']
556,[]
557,[]
558,['Does not express any politically relevant opinion']
559,['Does not express any politically relevant opinion']
560,['Does not express any politically relevant opinion']
561,[]
562,['Does not express any politically relevant opinion']
563,['Criticism of Local Government or Mayor']
564,[]
565,['Does not express any politically relevant opinion']
566,['Does not express any politically relevant opinion']
567,['Criticism of Donald Trump or Republican Party Leadership']
568,['Does not express any politically relevant opinion']
569,['Does not express any politically relevant opinion']
570,[]
571,['Does not express any politically relevant opinion']
572,['Criticism of police and federal detainment practices as abuse of power']
573,['Does not express any politically relevant opinion']
574,[]
575,['Does not express any politically relevant opinion']
576,['Does not express any politically relevant opinion']
577,['Does not express any politically relevant opinion']
578,[]
579,['Criticism of illegal immigration']
580,['Does not express any politically relevant opinion']
581,['Does not express any politically relevant opinion']
582,['Criticism of police and federal detainment practices as abuse of power']
583,['Does not express any politically relevant opinion']
584,['Does not express any politically relevant opinion']
585,['Support for police and federal detainment practices as necessary for law and order']
586,[]
587,['Does not express any politically relevant opinion']
588,"['Criticism of high taxes for government involvement', 'Criticism of Local Government or Mayor']"
589,['Does not express any politically relevant opinion']
590,['Criticism of police and federal detainment practices as abuse of power']
591,"['Criticism of police and federal detainment practices as abuse of power', 'Criticism of Local Government or Mayor']"
592,[]
593,['Does not express any politically relevant opinion']
594,[]
595,['Does not express any politically relevant opinion']
596,['Criticism of Local Government or Mayor']
597,['Does not express any politically relevant opinion']
598,['Does not express any politically relevant opinion']
599,['Does not express any politically relevant opinion']
600,['Does not express any politically relevant opinion']
601,['Criticism of Local Government or Mayor']
602,['Does not express any politically relevant opinion']
603,"['Criticism of police and federal detainment practices as abuse of power', 'Criticism of Local Government or Mayor']"
604,['Does not express any politically relevant opinion']
605,['Does not express any politically relevant opinion']
606,['Does not express any politically relevant opinion']
607,['Does not express any politically relevant opinion']
608,['Does not express any politically relevant opinion']
609,['Criticism of Local Government or Mayor']
610,['Does not express any politically relevant opinion']
611,['Does not express any politically relevant opinion']
612,['Does not express any politically relevant opinion']
613,"['Criticism of police and federal detainment practices as abuse of power', 'Criticism of Local Government or Mayor']"
614,['Criticism of Democrats or Liberals']
615,['Does not express any politically relevant opinion']
616,['Does not express any politically relevant opinion']
617,[]
618,['Does not express any politically relevant opinion']
619,['Does not express any politically relevant opinion']
620,['Does not express any politically relevant opinion']
621,['Does not express any politically relevant opinion']
622,['Does not express any politically relevant opinion']
623,['Does not express any politically relevant opinion']
624,['Does not express any politically relevant opinion']
625,[]
626,[]
627,[]
628,['Does not express any politically relevant opinion']
629,['Criticism of Democrats or Liberals']
630,['Does not express any politically relevant opinion']
631,['Does not express any politically relevant opinion']
632,['Does not express any politically relevant opinion']
633,['Does not express any politically relevant opinion']
634,[]
635,"['Support for police and federal detainment practices as necessary for law and order', 'Criticism of Local Government or Mayor']"
636,['Does not express any politically relevant opinion']
637,[]
638,['Does not express any politically relevant opinion']
639,['Does not express any politically relevant opinion']
640,['Does not express any politically relevant opinion']
641,['Does not express any politically relevant opinion']
642,"['Criticism of Republicans or Conservatives', 'Criticism of Donald Trump or Republican Party Leadership']"
643,['Does not express any politically relevant opinion']
644,['Does not express any politically relevant opinion']
645,['Does not express any politically relevant opinion']
646,['Criticism of Republicans or Conservatives']
647,['Does not express any politically relevant opinion']
648,['Does not express any politically relevant opinion']
649,['Does not express any politically relevant opinion']
650,['Does not express any politically relevant opinion']
651,['Support for police and federal detainment practices as necessary for law and order']
652,['Does not express any politically relevant opinion']
653,['Does not express any politically relevant opinion']
654,['Does not express any politically relevant opinion']
655,"['Criticism of illegal immigration', 'Support for Donald Trump or Republican Party Leadership']"
656,['Does not express any politically relevant opinion']
657,['Does not express any politically relevant opinion']
658,['Criticism of Local Government or Mayor']
659,['Does not express any politically relevant opinion']
660,['Does not express any politically relevant opinion']
661,['Does not express any politically relevant opinion']
662,[]
663,['Does not express any politically relevant opinion']
664,['Does not express any politically relevant opinion']
665,['Does not express any politically relevant opinion']
666,['Does not express any politically relevant opinion']
667,['Does not express any politically relevant opinion']
668,['Does not express any politically relevant opinion']
669,"['Criticism of Democrats or Liberals', 'Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership']"
670,[]
671,['Does not express any politically relevant opinion']
672,['Does not express any politically relevant opinion']
673,['Does not express any politically relevant opinion']
674,['Does not express any politically relevant opinion']
675,['Criticism of Democrats or Liberals']
676,['Does not express any politically relevant opinion']
677,['Praise for Local Government or Mayor']
678,"['Criticism of high taxes for government involvement', 'Criticism of illegal immigration', 'Criticism of Local Government or Mayor']"
679,['Does not express any politically relevant opinion']
680,"['Opposition to LGBTQ+ rights and same-sex marriage', 'Criticism of Democrats or Liberals']"
681,['Does not express any politically relevant opinion']
682,['Does not express any politically relevant opinion']
683,['Does not express any politically relevant opinion']
684,['Does not express any politically relevant opinion']
685,['Praise for Local Government or Mayor']
686,['Does not express any politically relevant opinion']
687,[]
688,[]
689,['Does not express any politically relevant opinion']
690,['Does not express any politically relevant opinion']
691,['Does not express any politically relevant opinion']
692,['Does not express any politically relevant opinion']
693,['Criticism of Local Government or Mayor']
694,['Praise for Local Government or Mayor']
695,"['Criticism of Democrats or Liberals', 'Criticism of Local Government or Mayor']"
696,[]
697,"['Criticism of Republicans or Conservatives', 'Criticism of Donald Trump or Republican Party Leadership']"
698,"['Criticism of Democrats or Liberals', 'Criticism of Local Government or Mayor']"
699,"['Criticism of Republicans or Conservatives', 'Criticism of Donald Trump or Republican Party Leadership']"
700,['Does not express any politically relevant opinion']
701,['Does not express any politically relevant opinion']
